"SlNo","Device","partKind","partStart","partDur"
"294","acutec_QT250-M301_781d8d","1762",2014-11-06 08:03:19.579,176.256000041962
"295","acutec_QT250-M301_781d8d","1762",2014-11-06 08:06:50.683,174.235999822617
"296","acutec_QT250-M301_781d8d","1762",2014-11-06 08:10:44.345,176.283999919891
"297","acutec_QT250-M301_781d8d","1762",2014-11-06 08:13:42.677,176.255000114441
"298","acutec_QT250-M301_781d8d","1762",2014-11-06 08:16:38.933,178.332999944687
"299","acutec_QT250-M301_781d8d","1762",2014-11-06 08:19:37.266,176.226999998093
"300","acutec_QT250-M301_781d8d","1762",2014-11-06 08:22:35.540,176.266000032425
"301","acutec_QT250-M301_781d8d","1762",2014-11-06 08:25:31.806,178.323000192642
"302","acutec_QT250-M301_781d8d","1762",2014-11-06 08:28:30.130,176.283999919891
"303","acutec_QT250-M301_781d8d","1762",2014-11-06 08:31:28.461,176.256000041962
"304","acutec_QT250-M301_781d8d","1762",2014-11-06 08:34:24.717,176.31200003624
"305","acutec_QT250-M301_781d8d","1762",2014-11-06 08:37:23.078,176.266999959946
"306","acutec_QT250-M301_781d8d","1762",2014-11-06 08:40:19.345,178.40700006485
"307","acutec_QT250-M301_781d8d","1762",2014-11-06 08:43:17.753,176.259999990463
"308","acutec_QT250-M301_781d8d","1762",2014-11-06 08:46:16.059,176.233000040054
"309","acutec_QT250-M301_781d8d","1762",2014-11-06 08:49:12.292,178.324000120163
